EDGE ID,node 1,node 2,distance,description [1 to 2] / [2 to 1]
1,Lot13,int1,1.4,Head [east out of] / [west towards] Parking Lot 13
2,int1,Lot12,0.5,Head [southwest towards] / [northeast out of] Parking Lot 12
3,Lot12,Lot11,1,Head [southwest towards Parking Lot 11] / [northeast towards Parking Lot 12]
4,Lot10,Lot11,1.4,Head [southwest towards Parking Lot 11] / [northeast towards Parking Lot 13]
5,int2,lot10,0.7,Head [southwest towards] / [northeast out of] Parking Lot 10
6,int2,int1,0.6,Head [west] / [east]
7,int2,int3,1.2,Head [east] / [west]
8,int3,int4,1.4,Head [east] / [west]
9,int3,int5,2.7,Head [southwest] / [northeast]
10,int5,int6,1.8,Head [southwest until you turn south and then continue] / [north until you turn northeast and then continue]
11,int6,Lot6,0.5,Head [southeast towards] / [northwest out of] Parking Lot 6
12,Lot6,Newcastle,0.1,Head [into] / [out of] Newcastle
13,Newcastle,Lot8,0.8,Head [from Newcastle towards Parking Lot 8] / [towards Newcastle from Parking Lot 8]
14,Lot8,int6,1,Head [southwest from] / [northeast towards] Parking Lot 8
15,Lot9,int7,1.4,Head [southwest away from] / [northeast towards] Parking Lot 9
16,int7,Lot8,0.3,Head [southwest towards] / [northeast away from] Parking Lot 8
17,int4,Lot9,1.7,Head [southwest towards] / [northeast away from] Parking Lot 9
18,int6,Lot5,1.1,Head [south towards] / [north away from] Parking Lot 5
19,int17,Lot4,1.5,Head [southeast then turn right and continue into] / [northwest then turn left and continue away from] Parking Lot 4
20,Lot5,int17,3.5,Head [southeast then turn left and continue] / [northwest then turn right and continue]
21,int17,int18,0.8,Head [east towards] / [west away from] Parking Lot 3
22,int18,Lot3,0.4,Head across the street [towards] / [away from] Parking Lot 3
23,int18,AthleticComplex,1.4,Head [northwest towards] / [southeast away from] the Athletic Complex
24,int8,AthleticComplex,1.4,Head [southeast towards] / [northwest away from] the Athletic Complex
25,int8,Lot6,0.7,Head [northwest towards] / [southeast away from] Parking Lot 6
26,int8,int9,0.6,Head [northeast along] / [southwest along] Larkin Field
27,int9,Newcastle,0.6,Head [northwest towards] / [southeast away from] Newcastle
28,int8,int18,2.8,Head [northwest] / [southeast] along the Athletic Complex
29,int9,Lot7,0.5,Head [northeast] / [southwest]
30,Lot7,int10,0.4,Head [northeast] / [southwest]
31,int10,int7,1.1,Head [northwest] / [southeast]		
32,int10,int11,0.6,Head [northeast] / [southwest]
33,int11,Lot9,2,Head [northwest towards Lot 9 then turn right and continue] /  [southwest away from Lot 9 then turn left and continue] 
34,int11,int7,1.4,Head [northwest towards Lot 9 then turn left and continue] /  [northeast slightly towards Lot 9 then turn left and continue] 
35,int11,int12,0.9,Head [northeast] / [southwest]	
